,Title,published_date,Views,Likes,Comments
146,Vedantu - Interview Experience || Off Campus || For Freshers || Step By Step Roadmap || GSoC 🔥,2020-10-24T10:37:41Z,2091,68,9
147,Paytm - Data Engineer Interview Experience || 1 Year Freshers || Must Watch 🔥 Important Topics,2020-10-21T12:10:41Z,10550,332,51
148,ShareChat Interview Experience | Off Campus | PPO Offered | For Freshers🔥,2020-10-17T11:40:31Z,9935,243,25
149,Horizontal vs Vertical Scaling || BigData Terminologies || Scalable Data Pipelines 🔥,2020-10-14T08:22:41Z,2159,90,10
150,OYO SDE Interview Experience || NON CS Stream || Roadmap For Freshers || Important Tips 🔥🔥,2020-10-10T10:27:29Z,5083,202,32
151,Data Engineer - Must to Have Skill Sets || Beginners || Experienced || Interviews 🔥,2020-10-07T08:09:59Z,49233,1517,103
152,"Goldman Sachs Full Interview Experience || Tech Analyst || Freshers 🔥Tips, Resources & Projects🔥",2020-10-03T05:51:59Z,10907,351,50
153,Kya hoga JOIN button click karke ??? ELB Membership 👻👻,2020-10-01T14:26:19Z,1379,49,27
154,Data Engineer - What it does ?? Roles & Responsibilities || Must Watch For Freshers 🔥,2020-09-30T05:54:39Z,18972,610,46
155,Road to Success 🔥I Didn't Give UP❌,2020-09-26T05:20:41Z,3163,437,60
156,"Zomato Internship Full Interview Experience || Android Developer || Best Tips, Resources & Roadmap 🔥",2020-09-19T05:41:19Z,5193,290,30
157,Reliance JIO Interview Experience | Switch from Service To Product company || Best Tips & Resources🔥,2020-09-12T07:29:44Z,30669,746,74
158,Dunzo Full Interview Experience || No Fancy College❌Competitive Programming || Indian Startup🔥,2020-09-05T09:27:57Z,15381,538,71
159,LinkedIn Interview Experience | Off Campus | Full Roadmap For Freshers  🔥,2020-08-29T05:33:27Z,15312,790,47
160,"Open Q&A For My Subscribers | Sawal Aapke ,  Jawab Mishra Ji Ke  😂 😂Zeher sawal pucho ..",2020-08-23T23:38:52Z,728,56,8
161,PPO from Microsoft || NO CS Background || Full Interview Experience For Freshers🔥,2020-08-22T05:15:51Z,4497,230,31
162,Dell Interview Experience || Internship With Myntra & Walmart || How To Crack??🔥,2020-08-15T05:22:54Z,14823,352,34
163,PhonePe Full Interview Experience || No Competitive Programming || How ??😲,2020-08-08T05:43:56Z,12450,392,28
164,Flipkart Full Interview Experience || Non CS Guy || How Did He Prepare ?? 😲😲,2020-08-01T06:03:39Z,28026,1022,84
165,𝗠𝗶𝘀𝘁𝗮𝗸𝗲𝘀 𝗶𝗻 𝗙𝗮𝗰𝗲 𝘁𝗼 𝗙𝗮𝗰𝗲 𝗜𝗻𝘁𝗲𝗿𝘃𝗶𝗲𝘄𝘀  ||  𝗛𝗼𝘄 𝘁𝗼 𝗮𝘃𝗼𝗶𝗱 𝗶𝘁 ❓ || 𝗜𝗺𝗽𝗼𝗿𝘁𝗮𝗻𝘁 𝗧𝗶𝗽𝘀 🔥,2020-07-29T09:51:43Z,748,73,14
166,𝗳𝗿𝗼𝗺 𝗕𝗶𝗵𝗮𝗿 𝗥𝘂𝗿𝗮𝗹 𝗔𝗿𝗲𝗮 𝘁𝗼 𝗧𝗼𝗽 𝗠𝗡𝗖 | 𝗩𝗠𝘄𝗮𝗿𝗲 𝗜𝗻𝘁𝗲𝗿𝘃𝗶𝗲𝘄 𝗘𝘅𝗽 | 𝗦𝗺𝗮𝗹𝗹 𝘁𝗼𝘄𝗻 𝗕𝗼𝘆 | 𝗦𝘂𝗰𝗰𝗲𝘀𝘀 𝗦𝘁𝗼𝗿𝘆 🔥🔥,2020-07-25T07:16:03Z,3202,236,30
167,𝗥𝗲𝘀𝘂𝗺𝗲 - 𝗗𝗼𝗼𝗿 𝗼𝗳 𝗶𝗻𝘁𝗲𝗿𝘃𝗶𝗲𝘄𝘀 | 𝗜𝗺𝗽𝗼𝗿𝘁𝗮𝗻𝘁 𝗧𝗶𝗽𝘀 | 𝗔𝘃𝗼𝗶𝗱 𝗺𝗶𝘀𝘁𝗮𝗸𝗲𝘀 | 𝗦𝗶𝗻𝗴𝗹𝗲 𝗽𝗮𝗴𝗲 𝗿𝗲𝘀𝘂𝗺𝗲 𝘁𝗶𝗽𝘀 👏👏,2020-07-22T07:23:39Z,1614,149,23
168,𝗖𝗼𝗹𝗹𝗲𝗴𝗲 𝗦𝘁𝗮𝘁𝘂𝘀 - 𝗪𝗵𝗼 𝗖𝗿𝗲𝗮𝘁𝗲𝘀 𝗜𝘁 ❓❓ 𝗗𝗼𝗲𝘀 𝗧𝗶𝗲𝗿-𝟭/𝗧𝗶𝗲𝗿-𝟮/𝗧𝗶𝗲𝗿-𝟯 𝗿𝗲𝗮𝗹𝗹𝘆 𝗺𝗮𝘁𝘁𝗲𝗿𝘀 ❓❓➡️Believe In Efforts 😎,2020-07-18T05:17:14Z,1704,142,24
169,How Referral System Works❓❓Don't make these mistakes ❌❌ 3 Simple Steps for Referrals🔥,2020-07-13T11:35:38Z,53800,1348,143
